Year	President	Party	_
1872	Ulysses S. Grant	Republican	_
1873	Ulysses S. Grant	Republican	_
1874	Ulysses S. Grant	Republican	_
1875	Ulysses S. Grant	Republican	_
1876	Ulysses S. Grant	Republican	_
1877	Rutherford B. Hayes	Republican	_
1878	Rutherford B. Hayes	Republican	_
1879	Rutherford B. Hayes	Republican	_
1880	Rutherford B. Hayes	Republican	_
1881	Chester A. Arthur	Republican	_
1882	Chester A. Arthur	Republican	_
1883	Chester A. Arthur	Republican	_
1884	Chester A. Arthur	Republican	_
1885	Grover Cleveland	Democratic	_
1886	Grover Cleveland	Democratic	_
1887	Grover Cleveland	Democratic	_
1888	Grover Cleveland	Democratic	_
1889	Benjamin Harrison	Republican	_
1890	Benjamin Harrison	Republican	_
1891	Benjamin Harrison	Republican	_
1892	Benjamin Harrison	Republican	_
1893	Grover Cleveland	Democratic	_
1894	Grover Cleveland	Democratic	_
1895	Grover Cleveland	Democratic	_
1896	Grover Cleveland	Democratic	_
1897	William McKinley	Republican	_
1898	William McKinley	Republican	_
1899	William McKinley	Republican	_
1900	William McKinley	Republican	_
1901	Theodore Roosevelt	Republican	_
1902	Theodore Roosevelt	Republican	_
1903	Theodore Roosevelt	Republican	_
1904	Theodore Roosevelt	Republican	_
1905	Theodore Roosevelt	Republican	_
1906	Theodore Roosevelt	Republican	_
1907	Theodore Roosevelt	Republican	_
1908	Theodore Roosevelt	Republican	_
1909	William Howard Taft	Republican	_
1910	William Howard Taft	Republican	_
1911	William Howard Taft	Republican	_
1912	William Howard Taft	Republican	_
1913	Woodrow Wilson	Democratic	_
1914	Woodrow Wilson	Democratic	_
1915	Woodrow Wilson	Democratic	_
1916	Woodrow Wilson	Democratic	_
1917	Woodrow Wilson	Democratic	_
1918	Woodrow Wilson	Democratic	_
1919	Woodrow Wilson	Democratic	_
1920	Woodrow Wilson	Democratic	_
1921	Warren G. Harding	Republican	_
1922	Warren G. Harding	Republican	_
1923	Calvin Coolidge	Republican	_
1924	Calvin Coolidge	Republican	_
1925	Calvin Coolidge	Republican	_
1926	Calvin Coolidge	Republican	_
1927	Calvin Coolidge	Republican	_
1928	Calvin Coolidge	Republican	_
1929	Herbert Hoover	Republican	_
1930	Herbert Hoover	Republican	_
1931	Herbert Hoover	Republican	_
1932	Herbert Hoover	Republican	_
1934	Franklin D. Roosevelt	Democratic	_
1935	Franklin D. Roosevelt	Democratic	_
1936	Franklin D. Roosevelt	Democratic	_
1937	Franklin D. Roosevelt	Democratic	_
1938	Franklin D. Roosevelt	Democratic	_
1939	Franklin D. Roosevelt	Democratic	_
1940	Franklin D. Roosevelt	Democratic	_
1941	Franklin D. Roosevelt	Democratic	_
1942	Franklin D. Roosevelt	Democratic	_
1943	Franklin D. Roosevelt	Democratic	_
1944	Franklin D. Roosevelt	Democratic	_
1945	Franklin D. Roosevelt	Democratic	_
1946	Harry S. Truman	Democratic	_
1947	Harry S. Truman	Democratic	_
1948	Harry S. Truman	Democratic	_
1949	Harry S. Truman	Democratic	_
1950	Harry S. Truman	Democratic	_
1951	Harry S. Truman	Democratic	_
1952	Harry S. Truman	Democratic	_
1953	Harry S. Truman	Democratic	_
1953-2	Dwight D. Eisenhower	Republican	_
1954	Dwight D. Eisenhower	Republican	_
1955	Dwight D. Eisenhower	Republican	_
1956	Dwight D. Eisenhower	Republican	_
1957	Dwight D. Eisenhower	Republican	_
1958	Dwight D. Eisenhower	Republican	_
1959	Dwight D. Eisenhower	Republican	_
1960	Dwight D. Eisenhower	Republican	_
1961	Dwight D. Eisenhower	Republican	_
1961-2	John F. Kennedy	Democratic	_
1962	John F. Kennedy	Democratic	_
1963	John F. Kennedy	Democratic	_
1964	Lyndon B. Johnson	Democratic	_
1965	Lyndon B. Johnson	Democratic	_
1966	Lyndon B. Johnson	Democratic	_
1967	Lyndon B. Johnson	Democratic	_
1968	Lyndon B. Johnson	Democratic	_
1969	Lyndon B. Johnson	Democratic	_
1970	Richard M. Nixon	Republican	_
1971	Richard M. Nixon	Republican	_
1972	Richard M. Nixon	Republican	_
1973	Richard M. Nixon	Republican	_
1974	Richard M. Nixon	Republican	_
1975	Gerald R. Ford	Republican	_
1976	Gerald R. Ford	Republican	_
1977	Gerald R. Ford	Republican	_
1978	Jimmy Carter	Democratic	_
1979	Jimmy Carter	Democratic	_
1980	Jimmy Carter	Democratic	_
1981	Jimmy Carter	Democratic	_
1982	Ronald Reagan	Republican	_
1983	Ronald Reagan	Republican	_
1984	Ronald Reagan	Republican	_
1985	Ronald Reagan	Republican	_
1986	Ronald Reagan	Republican	_
1987	Ronald Reagan	Republican	_
1988	Ronald Reagan	Republican	_
1989	George Bush	Republican	_
1990	George Bush	Republican	_
1991	George Bush	Republican	_
1992	George Bush	Republican	_
1993	William J. Clinton	Democratic	_
1994	William J. Clinton	Democratic	_
1995	William J. Clinton	Democratic	_
1996	William J. Clinton	Democratic	_
1997	William J. Clinton	Democratic	_
1998	William J. Clinton	Democratic	_
1999	William J. Clinton	Democratic	_
2000	William J. Clinton	Democratic	_
2001	George W. Bush	Republican	_
2002	George W. Bush	Republican	_
2003	George W. Bush	Republican	_
2004	George W. Bush	Republican	_
2005	George W. Bush	Republican	_
2006	George W. Bush	Republican	_
2007	George W. Bush	Republican	_
2008	George W. Bush	Republican	_
2009	Barack Obama	Democratic	_
2010	Barack Obama	Democratic	_
2011	Barack Obama	Democratic	_
2012	Barack Obama	Democratic	_
2013	Barack Obama	Democratic	_
2014	Barack Obama	Democratic	_
2015	Barack Obama	Democratic	_
2016	Barack Obama	Democratic	_
2017	Donald J. Trump	Republican	_
2018	Donald J. Trump	Republican	_
2019	Donald J. Trump	Republican	_
2020	Donald J. Trump	Republican	_
2021	Joseph R. Biden Jr.	Democratic	_
2022	Joseph R. Biden Jr.	Democratic	_
2023	Joseph R. Biden Jr.	Democratic	_
2024	Joseph R. Biden Jr.	Democratic	_
